,Train,Test,,,,
Folds,Accuracy,Accuracy,Precision,Recall,F1 Score,AUC
Fold 1,0.903,0.765,0.571,0.444,0.5,0.662
Fold 2,0.92,0.824,0.8,0.444,0.571,0.702
Fold 3,0.923,0.735,0.5,0.444,0.471,0.642
Fold 4,0.923,0.853,0.833,0.556,0.667,0.758
Fold 5,0.92,0.853,1.0,0.444,0.615,0.722
Fold 6,0.883,0.824,0.714,0.556,0.625,0.738
Fold 7,0.93,0.824,1.0,0.333,0.5,0.667
,0.915,0.811,0.774,0.46,0.564,0.699
,0.016,0.048,0.182,0.057,0.076,0.045
Fold 1,0.933,0.765,0.6,0.333,0.429,0.627
Fold 2,0.933,0.794,0.75,0.333,0.462,0.647
Fold 3,0.903,0.706,0.0,0.0,0.0,0.48
Fold 4,0.933,0.765,1.0,0.111,0.2,0.556
Fold 5,0.943,0.794,0.75,0.333,0.462,0.647
Fold 6,0.933,0.794,1.0,0.222,0.364,0.611
Fold 7,0.927,0.794,0.667,0.444,0.533,0.682
,0.93,0.773,0.681,0.254,0.35,0.607
,0.014,0.034,0.37,0.141,0.185,0.065
Fold 1,0.94,0.706,0.4,0.222,0.286,0.551
Fold 2,0.913,0.735,0.5,0.222,0.308,0.571
Fold 3,0.917,0.588,0.222,0.222,0.222,0.471
Fold 4,0.927,0.706,0.429,0.333,0.375,0.587
Fold 5,0.913,0.735,0.0,0.0,0.0,0.5
Fold 6,0.903,0.706,0.333,0.111,0.167,0.516
Fold 7,0.923,0.706,0.333,0.111,0.167,0.516
,0.92,0.697,0.317,0.175,0.218,0.53
,0.013,0.055,0.18,0.115,0.132,0.044
Fold 1,0.75,0.765,1.0,0.111,0.2,0.556
Fold 2,0.793,0.706,0.333,0.111,0.167,0.516
Fold 3,0.78,0.676,0.0,0.0,0.0,0.46
Fold 4,0.76,0.765,1.0,0.111,0.2,0.556
Fold 5,0.767,0.765,0.667,0.222,0.333,0.591
Fold 6,0.797,0.735,0.5,0.222,0.308,0.571
Fold 7,0.783,0.735,0.5,0.222,0.308,0.571
,0.776,0.735,0.571,0.143,0.216,0.546
,0.019,0.037,0.391,0.084,0.119,0.047
Fold 1,0.89,0.765,0.571,0.444,0.5,0.662
Fold 2,0.89,0.794,0.75,0.333,0.462,0.647
Fold 3,0.897,0.765,0.6,0.333,0.429,0.627
Fold 4,0.903,0.853,1.0,0.444,0.615,0.722
Fold 5,0.893,0.824,1.0,0.333,0.5,0.667
Fold 6,0.89,0.794,1.0,0.222,0.364,0.611
Fold 7,0.893,0.824,1.0,0.333,0.5,0.667
,0.894,0.803,0.846,0.349,0.481,0.657
,0.005,0.034,0.206,0.084,0.084,0.039
Fold 1,0.837,0.735,0.0,0.0,0.0,0.5
Fold 2,0.847,0.735,0.0,0.0,0.0,0.5
Fold 3,0.847,0.735,0.0,0.0,0.0,0.5
Fold 4,0.853,0.735,0.0,0.0,0.0,0.5
Fold 5,0.85,0.735,0.0,0.0,0.0,0.5
Fold 6,0.84,0.735,0.0,0.0,0.0,0.5
Fold 7,0.853,0.735,0.0,0.0,0.0,0.5
,0.847,0.735,0.0,0.0,0.0,0.5
,0.006,0.0,0.0,0.0,0.0,0.0
Fold 1,0.933,0.765,0.667,0.222,0.333,0.591
Fold 2,0.93,0.765,1.0,0.111,0.2,0.556
Fold 3,0.937,0.794,1.0,0.222,0.364,0.611
Fold 4,0.93,0.824,1.0,0.333,0.5,0.667
